"Tiempo inicial","Tiempo final","Duración"
"2024-08-12 14:00:00","2024-08-12 14:00:30",00:00:30
"2024-08-12 14:00:40","2024-08-12 14:01:34",00:00:54
"2024-08-12 14:01:44","2024-08-12 14:02:17",00:00:33
"2024-08-12 14:02:27","2024-08-12 14:03:06",00:00:39
"2024-08-12 14:03:16","2024-08-12 14:03:57",00:00:41
"2024-08-12 14:04:07","2024-08-12 14:04:44",00:00:37
"2024-08-12 14:04:54","2024-08-12 14:05:36",00:00:42
"2024-08-12 14:05:46","2024-08-12 14:06:21",00:00:35
"2024-08-12 14:06:31","2024-08-12 14:07:16",00:00:45
"2024-08-12 14:07:26","2024-08-12 14:08:13",00:00:47
"2024-08-12 14:08:23","2024-08-12 14:09:04",00:00:41
"2024-08-12 14:09:14","2024-08-12 14:10:01",00:00:47
"2024-08-12 14:10:11","2024-08-12 14:10:55",00:00:44
"2024-08-12 14:11:05","2024-08-12 14:11:41",00:00:36
"2024-08-12 14:11:51","2024-08-12 14:12:31",00:00:40
"2024-08-12 14:12:41","2024-08-12 14:13:20",00:00:39
"2024-08-12 14:13:30","2024-08-12 14:14:01",00:00:31
"2024-08-12 14:14:11","2024-08-12 14:14:41",00:00:30
"2024-08-12 14:14:51","2024-08-12 14:15:32",00:00:41
"2024-08-12 14:15:42","2024-08-12 14:16:27",00:00:45
"2024-08-12 14:16:37","2024-08-12 14:17:14",00:00:37
"2024-08-12 14:17:24","2024-08-12 14:18:06",00:00:42
"2024-08-12 14:18:16","2024-08-12 14:18:54",00:00:38
"2024-08-12 14:19:04","2024-08-12 14:19:39",00:00:35
"2024-08-12 14:19:49","2024-08-12 14:20:33",00:00:44
"2024-08-12 14:20:43","2024-08-12 14:21:25",00:00:42
"2024-08-12 14:21:35","2024-08-12 14:22:19",00:00:44
"2024-08-12 14:22:29","2024-08-12 14:23:12",00:00:43
"2024-08-12 14:23:22","2024-08-12 14:23:54",00:00:32
"2024-08-12 14:24:04","2024-08-12 14:24:46",00:00:42

"2024-08-21 19:20:55","2024-08-21 19:21:07",12
"2024-08-21 19:21:37","2024-08-21 19:24:25",178
"2024-08-21 19:24:56","2024-08-21 19:25:10",14
"2024-08-21 19:25:53","2024-08-21 19:26:08",25
"2024-08-21 19:26:34","2024-08-21 19:27:04",40
"2024-08-22 00:04:17","2024-08-22 00:06:12",125
"2024-08-22 02:49:42","2024-08-22 02:49:53",21
"2024-08-22 18:34:21","2024-08-22 18:34:38",27
"2024-08-22 19:27:26","2024-08-22 19:27:51",35
"2024-08-22 19:34:59","2024-08-22 19:35:36",47
"2024-09-11 00:49:37","2024-09-11 00:49:45",18
"2024-09-17 14:25:56","2024-09-17 14:26:33",47
"2024-09-17 14:29:38","2024-09-17 14:29:57",19
"2025-05-02 10:53:54","2025-05-02 10:54:08",14
