"Tiempo inicial","Tiempo final","Duración"
"2024-08-20 23:40:33","2024-08-20 23:41:01",00:00:28
"2024-08-20 23:41:21","2024-08-20 23:43:08",00:01:47
"2024-08-20 23:48:06","2024-08-20 23:48:24",00:00:18
"2024-08-21 00:08:33","2024-08-21 00:09:00",00:00:27
"2024-08-21 17:45:56","2024-08-21 17:46:11",00:00:15
"2024-08-21 17:46:17","2024-08-21 17:46:38",00:00:21
"2024-08-21 23:39:31","2024-08-21 23:39:39",00:00:08
"2024-08-21 23:40:44","2024-08-21 23:41:56",00:01:12
"2024-08-21 23:42:33","2024-08-21 23:42:35",00:00:02
"2024-08-21 23:45:06","2024-08-21 23:45:09",00:00:03
"2024-08-21 23:46:21","2024-08-21 23:46:24",00:00:03
"2024-08-21 23:47:29","2024-08-21 23:47:32",00:00:03
"2024-08-21 23:48:31","2024-08-21 23:48:51",00:00:20
"2024-08-21 23:49:50","2024-08-21 23:49:53",00:00:03
"2024-08-21 23:50:32","2024-08-21 23:50:33",00:00:01
"2024-08-21 23:51:37","2024-08-21 23:51:40",00:00:03
"2024-08-21 23:51:48","2024-08-21 23:51:50",00:00:02
"2024-08-21 23:52:05","2024-08-21 23:52:08",00:00:03
"2024-08-21 23:52:15","2024-08-21 23:52:18",00:00:03
"2024-08-21 23:52:29","2024-08-21 23:52:32",00:00:03
"2024-08-22 18:31:54","2024-08-22 18:32:06",00:00:12
"2024-08-22 18:33:35","2024-08-22 18:33:41",00:00:06
"2024-08-22 18:36:02","2024-08-22 18:36:12",00:00:10
"2025-05-02 19:22:26","2025-05-02 19:23:07",00:00:41
"2025-05-02 19:23:19","2025-05-02 19:23:20",00:00:01
"2025-05-02 19:23:24","2025-05-02 19:23:27",00:00:03
"2025-05-02 19:24:47","2025-05-02 19:24:53",00:00:06
"2025-05-02 19:25:29","2025-05-02 19:25:32",00:00:03
"2025-05-02 19:26:46","2025-05-02 19:26:48",00:00:02
"2025-05-02 19:26:56","2025-05-02 19:26:57",00:00:01
"2025-05-02 19:27:40","2025-05-02 19:27:43",00:00:03
"2025-05-02 19:28:34","2025-05-02 19:28:36",00:00:02
"2025-05-02 19:29:16","2025-05-02 19:29:17",00:00:01
"2025-05-02 19:30:19","2025-05-02 19:30:23",00:00:04
"2025-05-02 19:30:59","2025-05-02 19:31:03",00:00:04
"2025-05-02 19:33:22","2025-05-02 19:33:25",00:00:03
"2025-05-02 19:34:00","2025-05-02 19:34:03",00:00:03
"2025-05-02 19:36:06","2025-05-02 19:36:18",00:00:12
"2025-05-02 20:52:53","2025-05-02 20:53:01",00:00:08
